trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.6, 'e': 0.21438110142697794}",20,6,19.734756989516853,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.21013607120076472}",20,8,-8.066957188282323,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.20597509820488344}",20,13,14.205126340722165,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.20189651799465538}",20,8,20.300240377676335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.19789869908361465}",25,11,24.77927997002498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.19398004229089189}",30,13,-70.29904018895469,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
84,False,"{'a': 0.6, 'e': 0.1901389801015205}",30,8,16.190559568256823,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.18637397603940997}",30,15,14.018781559032163,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.18268352405273466}",20,9,17.27187228573258,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.17906614791149322}",25,14,12.594974797215889,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.17552040061699686}",20,7,-42.40325999483194,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.6, 'e': 0.17204486382305054}",25,7,-7.3438601682483995,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.1686381472685955}",20,16,7.807992040120713,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.16529888822158653}",20,12,0.574943499434013,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.6, 'e': 0.16202575093388075}",30,22,17.806411266124996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.15881742610692068}",20,0,29.713085430532136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.6, 'e': 0.1556726303679973}",25,12,1.835697787558153,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.15259010575688386}",20,14,14.063698466217925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.14956861922263504}",20,11,17.802148167644958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.14660696213035015}",30,9,16.766094088866417,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.14370394977770293}",25,15,-21.257391185917946,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.6, 'e': 0.140858420921045}",35,25,18.47873983452543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.13806923731089282}",30,10,34.03233816728166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.1353352832366127}",30,2,46.06886957950339,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.13265546508012172}",20,11,19.021799864037124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.1300287108784259}",20,16,8.191640655066237,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.12745396989482075}",20,15,-1.9500052908415806,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.6, 'e': 0.12493021219858241}",30,15,29.151970009579387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.1224564282529819}",30,14,8.847787014430144,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
